income,age,kidhome,teenhome,marital_divorced,marital_married,marital_single,marital_together,marital_widow,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_prods,mnt_regular_prods,num_web_purchases,num_catalog_purchases,num_store_purchases,accepted_cmp1,accepted_cmp2,accepted_cmp3,accepted_cmp4,accepted_cmp5
-55434,36,1,0,0,1,0,0,0,238,115,215,169,69,76,730,5,3,13,0,0,0,0,0
-22979,50,1,0,0,1,0,0,0,16,17,19,20,21,NA,71,3,2,2,0,0,0,0,0
-79244,27,0,0,0,0,1,0,0,471,102,125,212,61,245,726,4,10,7,1,0,0,0,1
-47889,46,1,0,0,0,0,1,0,29,0,29,0,5,4,59,2,0,3,0,0,0,0,0
-33178,43,1,0,0,0,0,1,0,12,6,2,11,2,16,17,1,0,3,0,0,0,0,0
-32892,49,1,0,0,0,0,1,0,26,0,15,2,1,2,42,3,0,3,0,0,0,0,0
-62568,58,0,1,0,0,0,1,0,362,17,398,80,35,61,831,5,3,5,1,0,0,0,0
-74268,65,0,0,0,1,0,0,0,199,66,315,97,174,41,810,4,3,5,0,0,0,0,0
-47743,63,0,1,0,1,0,0,0,198,2,43,0,12,20,235,4,1,6,0,0,0,1,0
-31626,42,1,0,0,0,1,0,0,39,1,9,2,1,34,18,2,1,2,0,0,1,0,0
-32146,37,1,0,0,1,0,0,0,26,3,23,4,7,3,60,2,0,4,0,0,0,0,0
-26850,49,1,1,0,0,0,1,0,31,1,13,7,2,9,45,2,1,4,0,0,0,0,0
-50898,64,1,1,0,0,0,1,0,285,28,242,55,114,135,589,6,2,12,0,0,0,0,0
-68682,29,0,0,0,0,0,1,0,919,0,505,99,30,45,1508,4,9,10,0,0,0,0,0
-38443,52,1,1,0,1,0,0,0,32,0,5,0,0,1,36,1,0,3,0,0,0,0,0
-24480,39,1,0,0,1,0,0,0,4,19,9,28,25,17,68,3,0,4,0,0,0,0,0
-63564,66,0,0,0,1,0,0,0,769,80,252,15,34,65,1085,10,10,7,0,0,1,0,0
-47353,60,0,1,0,1,0,0,0,184,2,19,8,8,4,217,2,2,6,0,0,0,0,0
-72159,42,0,0,0,1,0,0,0,322,53,899,34,40,53,1295,4,6,10,0,0,0,0,0
-52750,65,0,1,0,1,0,0,0,393,0,239,90,69,69,722,5,7,9,0,0,0,0,0
-64504,67,1,2,0,0,0,1,0,986,36,168,16,0,108,1098,11,3,4,0,0,0,0,0
-45183,58,0,0,0,0,1,0,0,219,3,60,12,9,12,291,4,1,7,0,0,0,1,0
-23295,61,0,0,1,0,0,0,0,0,0,1,2,12,5,10,1,0,2,0,0,0,0,0
-74068,44,0,0,0,1,0,0,0,783,30,537,140,76,15,1551,4,10,9,0,0,0,0,0
-35704,68,1,1,0,1,0,0,0,30,9,12,2,11,30,34,2,0,4,0,0,0,0,0
-63159,46,0,0,0,0,1,0,0,965,34,586,89,86,37,1723,3,5,8,0,0,1,0,0
-28249,59,0,0,0,1,0,0,0,1,9,7,2,14,10,23,2,0,3,0,0,0,0,0
-32871,69,1,1,0,1,0,0,0,22,2,12,0,2,5,33,1,0,3,0,0,0,0,0
-78028,64,0,1,0,0,0,0,1,158,19,288,25,0,38,452,6,4,9,0,0,0,1,1
-72066,39,0,0,0,0,1,0,0,1003,34,536,134,51,34,1724,4,6,6,1,0,0,0,1
-31878,43,0,1,0,0,1,0,0,23,4,5,10,5,23,24,1,0,4,0,0,0,0,0
-61618,29,0,0,0,0,1,0,0,605,91,399,0,45,205,935,3,6,8,0,0,0,0,0
-33697,50,1,0,0,0,1,0,0,4,3,7,0,3,11,6,1,0,2,0,0,1,0,0
-63211,38,0,0,0,1,0,0,0,145,193,459,205,26,145,883,3,8,7,0,0,0,0,0
-18222,30,0,0,0,1,0,0,0,12,4,19,12,6,14,39,2,0,3,0,0,0,0,0
-70116,48,0,0,0,1,0,0,0,707,44,603,95,58,29,1478,2,8,12,0,0,0,0,0
-61074,62,0,1,0,1,0,0,0,789,0,133,0,28,152,798,11,5,8,0,0,0,0,0
-54753,61,0,1,0,0,0,1,0,197,107,227,7,59,131,466,5,2,11,0,0,0,0,0
-69702,69,0,1,0,0,0,1,0,664,9,240,50,19,57,925,7,7,10,0,0,0,0,0
-46610,68,0,2,1,0,0,0,0,96,12,96,33,22,43,216,4,1,6,0,0,0,0,0
-74637,66,0,0,0,0,1,0,0,960,64,464,146,0,16,1618,6,9,9,1,0,0,0,0
-26646,36,1,0,0,0,0,1,0,11,4,20,10,3,5,43,2,0,4,0,0,0,0,0
-56796,51,0,1,0,1,0,0,0,656,38,161,62,47,37,927,8,9,7,0,0,0,0,0
-60905,70,0,1,0,0,0,1,0,208,17,76,36,17,38,316,3,3,7,0,0,0,0,0
-7500,42,1,1,0,0,1,0,0,6,5,4,13,4,25,7,2,1,3,0,0,0,0,0
-65275,76,0,0,0,1,0,0,0,388,14,218,91,14,21,704,4,3,13,0,0,0,0,0
-71427,42,2,0,0,1,0,0,0,212,123,177,15,64,23,568,8,2,8,0,0,0,0,0
-40101,35,1,0,0,0,0,1,0,171,3,129,26,24,62,291,6,1,6,0,0,0,0,0
-38136,42,1,0,0,1,0,0,0,8,15,27,0,20,33,37,3,1,2,0,0,1,0,0
-53083,62,1,1,0,0,0,1,0,215,7,33,3,0,13,245,5,1,5,0,0,0,1,0
-44377,52,1,1,0,1,0,0,0,224,0,30,0,0,10,244,5,1,5,0,0,0,0,0
-75345,50,0,0,0,0,1,0,0,918,57,842,99,38,133,1821,5,8,6,1,0,0,0,0
-82657,74,0,0,0,0,0,1,0,966,168,672,246,105,126,2031,7,5,10,1,0,0,1,0
-50334,48,0,1,0,0,0,1,0,284,16,160,84,16,134,426,7,4,6,0,0,0,0,0
-38593,42,1,0,0,0,1,0,0,51,12,49,17,24,24,129,4,1,3,0,0,0,0,0
-28420,53,1,0,1,0,0,0,0,4,2,5,2,0,0,13,1,0,2,0,0,0,0,0
-30675,48,1,0,0,1,0,0,0,10,2,16,11,2,21,20,1,0,3,0,0,0,0,0
-81217,31,0,0,0,0,1,0,0,493,70,324,146,40,84,989,3,7,11,0,0,0,0,0
-69674,52,0,2,1,0,0,0,0,554,41,215,11,0,24,797,10,2,10,0,0,0,0,0
-21255,46,1,0,0,0,0,1,0,29,0,25,2,2,3,55,2,1,4,NA,0,0,0,0
-18929,30,0,0,0,1,0,0,0,32,0,8,23,4,18,49,1,0,4,0,0,0,0,0
-61905,45,0,1,0,0,0,1,0,167,0,43,6,2,13,205,4,2,4,0,0,0,0,0
-26095,30,1,0,0,0,1,0,NA,11,7,9,3,1,11,20,1,0,3,0,0,0,0,0
-63342,59,0,1,0,0,0,1,0,918,21,118,13,10,21,1059,8,3,5,0,0,0,1,0
-55521,65,1,2,0,0,1,0,0,416,0,26,0,0,4,438,6,3,6,0,0,0,1,0
-55412,44,1,1,1,0,0,0,0,10,5,28,11,1,8,47,2,0,3,0,0,0,0,0
-53233,63,0,1,0,1,0,0,0,28,0,9,3,0,0,40,1,0,3,0,0,0,0,0
-38998,66,1,1,0,1,0,0,0,34,1,14,0,0,5,44,2,0,3,0,0,0,0,0
-31788,37,1,0,0,0,1,0,0,16,7,23,0,8,6,48,3,0,4,0,0,0,0,0
-90273,29,0,0,0,0,1,0,0,704,129,853,120,74,111,1769,5,6,7,1,0,0,1,1
-48721,57,1,1,1,0,0,0,0,81,18,113,47,13,21,251,4,2,5,0,0,0,0,0
-60491,49,0,1,0,1,0,0,0,637,47,237,12,19,76,876,6,11,7,0,0,0,0,0
-43456,54,0,1,0,0,1,0,0,275,11,68,25,7,7,379,5,1,8,0,0,0,0,0
-69882,55,0,0,0,0,1,0,0,292,127,635,132,127,165,1148,3,7,9,0,0,0,0,0
-41638,56,0,1,1,0,0,0,0,315,0,31,4,0,91,259,5,5,3,0,0,1,0,0
-60689,69,0,1,0,0,1,0,0,240,90,216,63,6,24,591,4,4,10,0,0,0,0,0
-60934,45,0,1,0,0,0,1,0,224,155,155,192,93,54,765,6,4,11,0,0,0,0,0
-25443,31,1,0,0,1,0,0,0,1,4,3,8,9,7,18,1,0,3,0,0,0,0,0
-28332,68,0,0,0,1,0,0,0,14,10,13,4,15,9,47,2,1,4,0,0,0,0,0
-77766,53,0,1,0,1,0,0,0,1004,59,265,115,59,27,1475,11,10,11,0,0,1,0,0
-74716,48,0,1,0,1,0,0,0,133,27,421,13,195,71,718,7,3,5,0,0,0,0,0
-23272,67,0,0,1,0,0,0,0,19,3,6,4,2,12,22,1,0,3,0,0,0,0,0
-69661,40,0,0,0,1,0,0,0,656,16,106,32,16,8,818,7,3,12,0,0,0,0,0
-68627,38,0,0,0,0,1,0,0,395,15,263,60,54,38,749,2,3,6,0,0,0,0,0
-13084,68,0,0,0,0,0,1,0,2,0,7,3,7,10,9,1,0,3,0,0,0,0,0
-67786,61,0,0,0,0,0,0,1,431,82,441,80,20,102,952,3,6,6,0,0,0,0,0
-64497,66,0,1,1,0,0,0,0,1170,48,320,42,32,192,1420,11,4,9,0,0,1,0,0
-26487,42,1,0,0,0,1,0,0,2,8,10,12,14,23,23,2,1,3,0,0,0,0,0
-49912,71,0,1,0,0,0,1,0,520,8,223,32,49,42,790,10,5,7,0,0,1,0,0
-38175,36,1,0,0,1,0,0,0,70,6,69,2,3,3,147,3,1,4,0,0,0,0,0
-27421,66,0,0,0,0,0,0,1,43,12,96,78,40,55,214,4,1,6,0,0,0,0,0
-55239,49,0,1,0,0,1,0,0,371,17,238,23,24,106,567,7,5,11,0,0,0,0,0
-64713,50,1,0,1,0,0,0,0,180,60,241,13,54,54,494,5,5,7,0,0,0,0,0
-49166,46,0,1,0,0,1,0,0,224,2,25,7,0,110,148,5,3,3,0,0,0,0,0
-69267,67,0,0,0,0,1,0,0,778,44,499,95,73,146,1343,3,4,5,0,0,0,0,0
-65196,62,0,2,0,0,0,1,0,743,19,181,12,0,200,755,7,6,11,0,0,1,0,0
-33562,57,1,2,0,1,0,0,0,21,12,12,0,3,3,45,2,0,4,0,0,0,0,0
-21846,34,1,0,1,0,0,0,0,7,17,18,6,10,26,32,4,0,3,0,0,0,0,0
-38197,34,1,0,0,0,0,1,0,23,0,11,2,1,3,34,1,0,3,0,0,0,0,0
-68126,29,0,0,0,0,1,0,0,1332,17,311,23,51,86,1648,7,4,5,0,0,0,1,0
-43602,54,1,1,0,0,1,0,0,19,5,12,10,3,19,30,3,1,2,0,0,0,0,0
-41145,70,1,1,0,1,0,0,0,9,0,3,0,0,1,11,0,0,3,0,0,0,0,0
-70123,37,0,0,0,0,0,1,0,1308,0,396,23,0,0,1727,5,7,4,0,1,0,1,0
-30631,46,1,0,0,1,0,0,0,15,6,20,4,5,20,30,3,1,2,0,0,0,0,0
-22585,50,0,0,0,0,1,0,0,3,9,15,13,2,39,3,1,1,2,0,0,1,0,0
-77520,61,0,1,0,1,0,0,0,940,44,396,0,88,58,1410,8,7,7,1,0,1,0,1
-70924,55,0,0,0,1,0,0,0,635,114,254,132,152,76,1211,6,6,7,0,0,0,0,1
-74190,45,0,1,0,1,0,0,0,151,81,86,168,91,64,513,4,2,11,0,0,0,0,0
-26576,34,1,0,0,0,1,0,0,10,0,8,0,0,9,9,1,0,2,0,0,1,0,0
-50520,62,0,1,0,0,0,0,1,112,0,6,2,1,14,107,3,1,3,0,0,0,0,0
-63810,54,0,1,0,0,1,0,0,977,12,253,16,12,101,1169,4,3,12,0,0,0,1,0
-35765,30,1,0,0,1,0,0,0,22,3,30,0,5,15,45,2,0,4,0,0,0,0,0
-69476,51,0,0,0,0,0,1,0,260,86,559,63,9,67,910,4,6,4,0,0,0,0,0
-44953,39,0,0,0,0,0,1,0,728,17,133,11,8,124,773,7,3,13,0,0,1,0,0
-73448,51,0,0,0,1,0,0,0,236,106,189,23,41,130,465,7,2,9,0,0,0,0,0
-62845,71,1,1,0,1,0,0,0,1099,0,45,0,0,34,1110,3,4,10,0,0,0,1,0
-34242,61,0,1,0,1,0,0,0,8,2,4,0,0,1,13,0,0,3,0,0,0,0,0
-46610,62,0,0,0,0,0,1,0,288,10,30,4,10,125,217,6,1,6,0,0,0,0,0
-48432,47,0,1,0,0,1,0,0,322,3,50,4,3,42,340,7,1,6,0,0,0,0,0
-52597,58,0,1,0,0,1,0,0,492,0,37,7,0,42,494,6,3,8,0,0,0,0,0
-43020,50,1,0,0,0,1,0,0,45,7,99,4,25,43,137,4,1,4,0,0,0,0,0
-76068,45,0,1,0,1,0,0,0,1115,12,128,33,12,76,1224,2,3,4,0,1,0,1,0
-43018,46,0,1,0,0,0,1,0,35,4,17,7,6,64,5,2,2,2,0,0,0,0,0
-58554,52,1,1,0,0,0,1,0,368,24,68,38,0,88,410,8,2,6,0,0,0,0,0
-70337,41,0,0,0,0,1,0,0,187,81,149,25,43,91,394,2,2,12,0,0,0,0,0
-80124,57,0,0,0,1,0,0,0,483,84,398,205,84,241,1013,3,7,8,0,0,1,0,0
-74881,59,1,1,0,0,0,1,0,505,72,270,36,27,54,856,9,2,12,0,0,0,0,0
-46098,45,1,1,0,0,1,0,0,57,0,27,0,0,36,48,3,2,2,0,0,0,0,0
-43269,48,1,0,0,1,0,0,0,10,NA,7,0,0,1,17,1,0,2,0,0,0,0,0
-37717,42,1,0,0,1,0,0,0,9,0,6,4,1,5,15,1,0,2,0,0,0,0,0
-56337,39,1,1,0,1,0,0,0,349,16,144,NA,5,182,360,8,5,4,1,0,1,0,0
-40780,44,0,1,1,0,0,0,0,229,27,71,13,3,34,309,7,1,5,0,0,0,0,0
-34633,64,2,1,0,0,0,1,0,8,1,5,0,0,1,13,1,0,2,0,0,0,0,0
-77343,55,0,0,0,1,0,0,0,227,151,573,98,54,31,1072,3,4,9,0,0,0,0,0
-24884,48,1,0,0,1,0,0,0,3,6,7,0,0,3,13,0,0,3,0,0,0,0,0
-67445,46,0,1,0,1,0,0,0,757,80,217,29,80,11,1152,9,6,12,0,0,0,0,0
-46734,54,1,2,0,0,1,0,0,100,1,39,6,1,76,71,3,2,3,0,0,1,0,0
-35924,51,1,1,0,0,0,1,0,8,0,14,2,3,7,20,1,0,3,0,0,0,0,0
-52531,49,0,0,0,1,0,0,0,283,112,151,51,72,125,544,7,2,10,0,0,0,0,0
-61286,54,0,1,0,1,0,0,0,356,0,107,19,9,117,374,7,1,8,0,0,0,0,0
-50200,44,1,1,0,0,0,1,0,266,6,51,8,6,64,273,7,1,NA,0,0,0,0,0
-46098,45,1,1,0,0,1,0,0,57,0,27,0,0,36,48,3,2,2,0,0,0,0,0
-69805,68,0,1,0,0,0,1,0,750,71,174,13,10,20,998,6,8,11,0,0,0,0,0
-34176,32,1,0,0,0,1,0,0,5,7,24,19,14,20,49,3,0,4,0,0,0,0,0
-44051,47,1,1,1,0,0,0,0,79,7,58,6,3,18,135,3,1,4,0,0,0,0,0
-37054,53,1,1,0,1,0,0,0,12,1,6,0,1,5,15,1,0,3,0,0,0,0,0
-59925,65,0,1,0,0,0,1,0,473,21,176,19,21,56,654,9,2,9,0,0,0,0,0
-63033,61,0,0,1,0,0,0,0,194,61,480,225,112,30,1042,3,4,8,0,0,0,0,0
-55357,35,2,0,0,1,0,0,0,374,64,116,84,25,64,599,6,2,11,0,0,0,0,0
-69520,37,0,0,0,1,0,0,0,627,120,414,121,80,93,1269,9,6,5,0,0,0,0,0
-70777,52,0,1,0,1,0,0,0,554,35,113,0,7,78,631,5,3,12,0,0,0,0,0
-63841,52,0,1,1,0,0,0,0,635,15,100,20,7,131,646,9,3,9,0,0,0,0,0
-74004,33,0,0,0,0,1,0,0,784,48,560,42,176,48,1562,4,6,4,1,0,0,0,1
-65486,63,0,1,0,0,0,0,1,245,19,125,37,67,14,479,4,2,10,0,0,0,0,0
-36065,52,1,1,0,0,1,0,0,18,7,34,10,2,3,68,3,0,3,0,0,0,0,0
-61482,55,0,0,0,1,0,0,0,48,58,68,16,66,43,213,3,2,6,0,0,0,0,0
-82716,76,0,0,0,0,1,0,0,606,148,228,15,148,22,1123,6,8,13,0,0,0,0,0
-61209,50,0,0,0,0,1,0,0,466,0,224,119,49,99,759,5,3,4,0,0,0,0,0
-62637,66,0,1,1,0,0,0,0,104,12,48,4,12,5,175,2,2,5,0,0,0,0,0
-48789,28,0,0,0,0,1,0,0,351,16,156,7,5,145,390,6,4,7,0,0,0,0,0
-32889,52,1,1,0,0,0,1,0,28,0,13,4,2,8,39,2,1,3,0,0,0,0,0
-53700,68,0,1,0,0,1,0,0,263,5,233,69,41,83,528,5,5,8,0,0,0,0,0
-64590,52,0,0,0,1,0,0,0,920,138,168,36,46,30,1278,9,4,10,0,0,0,0,0
-51148,47,1,1,0,1,0,0,0,235,6,45,8,9,12,291,5,1,6,0,0,0,0,0
-79761,62,0,1,0,0,1,0,0,415,5,124,15,35,11,583,5,2,11,0,0,0,0,0
-55212,51,0,1,0,1,0,0,0,1103,0,45,0,0,34,1114,4,2,NA,0,1,0,1,0
-16014,41,1,1,0,0,1,0,0,3,9,4,7,8,7,24,1,1,4,0,0,0,0,0
-26228,47,1,0,0,1,0,0,0,2,6,4,3,1,9,7,1,0,2,0,0,0,0,0
-38643,42,1,1,0,0,1,0,0,22,2,14,0,1,10,29,2,0,3,0,0,0,0,0
-44689,69,1,1,0,1,0,0,0,18,0,5,0,0,11,12,1,1,2,0,0,1,0,0
-57136,53,0,0,1,0,0,0,0,267,140,599,34,12,127,925,7,5,7,0,0,0,0,0
-64950,69,0,1,0,0,1,0,0,819,0,72,12,0,63,840,11,2,10,0,0,0,1,0
-48985,52,0,1,0,1,0,0,0,19,13,18,10,7,8,59,1,1,3,0,0,0,0,0
-91700,49,0,0,0,0,1,0,0,576,172,961,125,115,19,1930,8,6,5,0,0,0,0,0
-43974,40,1,0,0,1,0,0,0,378,0,101,0,0,72,407,6,4,6,0,0,0,0,0
-65031,61,0,1,0,1,0,0,0,258,107,291,84,37,86,691,10,3,13,0,0,0,0,0
-34176,45,0,1,0,0,0,1,0,11,2,7,4,2,2,24,1,0,3,0,0,0,0,0
-6835,63,0,1,0,0,0,1,0,NA,2,12,2,2,12,113,0,0,1,0,0,0,0,0
-46910,56,1,1,0,0,0,1,0,48,0,14,0,0,6,56,2,0,3,0,0,0,0,0
-90687,37,0,0,1,0,0,0,0,982,17,672,23,34,51,1677,6,2,8,0,0,0,0,1
-68352,46,0,1,0,0,1,0,0,614,16,132,43,33,33,805,8,5,9,0,0,0,0,0
-48192,62,0,0,0,1,0,0,0,1039,43,204,153,58,29,1468,2,8,12,1,1,0,1,0
-38547,39,1,0,0,0,0,1,0,6,1,10,0,1,4,14,1,0,2,0,0,0,0,0
-51195,58,1,1,0,0,0,1,0,230,14,156,82,24,58,448,9,2,5,0,0,0,0,0
-46102,58,2,1,1,0,0,0,0,14,0,1,0,0,1,14,1,0,2,0,0,0,0,0
-54456,59,0,1,0,1,0,0,0,352,0,27,10,0,15,374,6,1,7,NA,0,0,0,0
-23091,57,1,1,0,0,1,0,0,35,0,11,0,0,2,44,2,1,3,0,0,0,0,0
-57091,48,0,1,0,1,0,0,0,462,0,24,6,0,4,488,9,2,5,0,0,0,1,0
-72117,43,0,1,0,1,0,0,0,707,20,171,65,60,50,973,9,7,9,0,0,0,0,0
-22212,45,1,0,0,1,0,0,0,5,9,20,6,8,21,27,2,0,4,0,0,0,0,0
-46681,72,0,2,0,0,0,1,0,269,15,69,15,19,38,349,4,6,4,0,0,0,0,0
-65104,44,0,1,0,0,0,1,0,738,0,232,13,20,50,953,3,5,7,0,0,0,0,0
-66973,31,0,0,0,0,0,1,0,466,22,432,147,113,102,1078,8,7,12,0,0,0,0,0
-55707,67,0,1,0,1,0,0,0,208,7,82,30,66,35,358,3,2,9,0,0,0,0,0
-10404,31,1,0,0,0,0,1,0,2,2,11,10,6,12,19,1,0,4,0,0,0,0,0
-30093,30,0,0,0,1,0,0,0,2,6,28,13,4,16,37,2,0,3,0,0,0,0,0
-70440,42,0,0,0,0,0,1,0,690,117,499,76,102,88,1396,5,10,7,1,0,0,0,0
-36026,48,2,1,0,1,0,0,0,20,4,10,6,4,17,27,2,0,3,0,0,0,0,0
-31089,39,1,0,0,0,0,1,0,31,3,31,2,8,4,71,3,0,4,0,0,0,0,0
-80144,45,0,0,0,0,0,1,0,240,132,445,250,192,108,1151,3,7,8,0,0,0,0,0
-53593,67,1,1,0,0,0,1,0,349,4,78,6,0,43,394,7,2,6,0,0,0,0,0
-46106,44,1,1,0,0,0,1,0,30,0,8,2,0,14,26,1,1,2,0,0,0,0,0
-40590,51,1,1,0,0,0,0,1,154,0,50,6,11,37,184,3,4,3,0,0,1,0,0
-24683,30,1,0,0,1,0,0,0,8,4,10,6,7,6,29,2,0,4,0,0,0,0,0
-57537,41,1,0,0,0,1,0,0,191,56,139,51,8,100,345,4,3,8,0,0,0,0,0
-61823,68,0,1,0,0,1,0,0,523,7,134,37,14,169,546,8,2,10,0,0,0,0,0
-30298,35,0,0,0,0,1,0,0,6,3,12,6,1,0,28,1,1,3,0,0,0,0,0
-59462,70,0,1,0,1,0,0,0,724,17,143,0,8,196,696,9,2,12,0,0,0,0,0
-71853,38,0,0,0,0,0,1,0,358,108,413,141,97,32,1085,2,8,6,0,0,0,0,0
-80950,59,0,0,0,1,0,0,0,525,147,112,219,147,63,1087,6,7,9,1,0,0,0,0
-24279,30,0,0,0,1,0,0,0,16,36,21,20,62,108,47,4,1,3,0,0,0,0,0
-91172,30,0,0,0,0,1,0,0,162,28,818,0,28,56,980,4,3,7,1,1,1,0,1
-18589,51,0,0,0,0,1,0,0,6,4,25,15,12,13,49,2,1,3,0,0,0,0,0
-61825,41,0,1,0,0,1,0,0,162,50,100,55,30,27,370,4,2,8,0,0,0,0,0
-43783,42,1,0,0,1,0,0,0,327,9,125,25,4,139,351,7,1,8,0,0,1,0,0
-18351,30,0,0,0,1,0,0,0,1,12,9,0,14,7,29,2,0,3,0,0,0,0,0
-58684,39,0,0,0,0,1,0,0,479,35,179,28,7,85,643,5,3,12,0,0,0,1,0
-79529,34,0,0,0,1,0,0,0,423,42,706,73,197,197,1244,4,8,9,0,0,0,0,0
-30545,41,1,0,0,0,0,1,0,4,12,15,19,7,12,45,2,0,3,0,0,0,0,0
-72504,48,0,1,0,0,1,0,0,604,26,470,123,161,94,1290,5,9,6,0,0,0,0,0
-71855,43,0,1,0,1,0,0,0,548,31,422,0,112,28,1085,5,5,11,0,0,0,0,0
-18890,36,0,0,0,0,1,0,0,6,4,1,7,2,15,5,0,1,2,0,0,1,0,0
-37929,35,0,0,0,0,1,0,0,202,2,46,3,2,10,245,4,2,5,1,0,0,1,0
-94642,69,0,0,0,1,0,0,0,879,143,797,106,143,143,1925,5,7,9,1,0,0,0,1
-82332,59,0,0,0,0,1,0,0,830,59,968,51,79,19,1968,5,3,12,0,0,0,0,1
-80739,62,0,0,0,1,0,0,0,674,92,736,39,0,92,1449,3,11,9,0,0,0,0,0
-62551,67,0,0,1,0,0,0,0,125,16,98,134,21,27,367,6,7,4,0,0,1,0,0
-18701,56,1,1,0,0,1,0,0,12,4,2,10,6,10,24,2,0,4,0,0,0,0,0
-76532,45,1,1,0,0,0,1,0,355,30,177,90,138,30,760,9,5,7,0,0,0,0,0
-80011,40,0,1,0,1,0,0,0,421,76,536,82,178,102,1191,8,6,5,0,0,0,0,0
-63855,42,0,0,0,0,0,1,0,359,35,314,93,116,89,828,7,3,13,0,0,0,0,0
-66373,42,1,1,0,1,0,0,0,328,9,124,12,24,109,388,4,2,10,0,0,0,0,0
-67381,69,0,1,0,1,0,0,0,815,8,53,11,0,70,817,2,2,9,0,0,0,1,0
